part_number,type,identifier,location,quantity,receipt_date,status
F1_ENGINE,serial,F1_001,MICHOUD,1,1968-09-15,Available
F1_ENGINE,serial,F1_002,MICHOUD,1,1968-10-20,Available
J2_ENGINE,serial,J2_001,CANOGA_PARK,1,1968-08-10,Available
J2_ENGINE,serial,J2_002,CANOGA_PARK,1,1968-09-05,Available
F1_TURBOPUMP_V1,serial,F1TP_V1_001,MICHOUD,2,1968-07-15,Available
F1_TURBOPUMP_V2,serial,F1TP_V2_001,MICHOUD,3,1968-11-20,Available
J2_TURBOPUMP,serial,J2TP_001,CANOGA_PARK,3,1968-08-25,Available
COMBUSTION_CHAMBER,lot,CC_LOT_001,MICHOUD,5,1968-06-10,Available
NOZZLE_ASSEMBLY,lot,NOZZLE_LOT_001,CANOGA_PARK,4,1968-07-05,Available
VALVE_MAIN,lot,VALVE_LOT_001,KENNEDY,25,1968-05-15,Available
INJECTOR_HEAD,lot,INJ_LOT_001,MICHOUD,6,1968-06-20,Available
SEAL_KIT,lot,SEAL_LOT_001,KENNEDY,150,1968-04-01,Available
SEAL_KIT,lot,SEAL_LOT_002,MICHOUD,200,1968-05-10,Available
GASKET_SET,lot,GASKET_LOT_001,KENNEDY,300,1968-04-15,Available
BOLT_M12,lot,BOLT_M12_LOT_001,KENNEDY,5000,1968-03-01,Available
BOLT_M16,lot,BOLT_M16_LOT_001,KENNEDY,2500,1968-03-15,Available
O_RING_LARGE,lot,ORING_L_LOT_001,KENNEDY,800,1968-04-20,Available
O_RING_SMALL,lot,ORING_S_LOT_001,KENNEDY,1500,1968-04-25,Available